date,hits,keyword,geo,time,gprop,category,term,state,time_span
2019-01-06T00:00:00Z,81,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-01-13T00:00:00Z,71,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-01-20T00:00:00Z,72,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-01-27T00:00:00Z,72,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-02-03T00:00:00Z,65,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-02-10T00:00:00Z,67,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-02-17T00:00:00Z,71,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-02-24T00:00:00Z,66,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-03-03T00:00:00Z,71,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-03-10T00:00:00Z,74,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-03-17T00:00:00Z,70,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-03-24T00:00:00Z,72,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-03-31T00:00:00Z,75,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-04-07T00:00:00Z,68,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-04-14T00:00:00Z,73,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-04-21T00:00:00Z,76,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-04-28T00:00:00Z,74,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-05-05T00:00:00Z,68,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-05-12T00:00:00Z,80,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-05-19T00:00:00Z,79,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-05-26T00:00:00Z,81,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-06-02T00:00:00Z,78,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-06-09T00:00:00Z,82,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-06-16T00:00:00Z,92,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-06-23T00:00:00Z,92,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-06-30T00:00:00Z,91,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-07-07T00:00:00Z,90,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
2019-07-14T00:00:00Z,92,porn,US-NC,2019-01-01 2023-10-01,web,0,porn,NC,2019-01-01 2023-10-01
