date,hits,keyword,geo,time,gprop,category,term,state,time_span
2023-01-01T00:00:00Z,81,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-01-08T00:00:00Z,69,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-01-15T00:00:00Z,72,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-01-22T00:00:00Z,75,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-01-29T00:00:00Z,71,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-02-05T00:00:00Z,78,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-02-12T00:00:00Z,69,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-02-19T00:00:00Z,74,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-02-26T00:00:00Z,72,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-03-05T00:00:00Z,72,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-03-12T00:00:00Z,73,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-03-19T00:00:00Z,68,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-03-26T00:00:00Z,70,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-04-02T00:00:00Z,77,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-04-09T00:00:00Z,78,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-04-16T00:00:00Z,77,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-04-23T00:00:00Z,70,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-04-30T00:00:00Z,62,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-05-07T00:00:00Z,80,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-05-14T00:00:00Z,70,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-05-21T00:00:00Z,73,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-05-28T00:00:00Z,79,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-06-04T00:00:00Z,77,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-06-11T00:00:00Z,78,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-06-18T00:00:00Z,75,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-06-25T00:00:00Z,100,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-07-02T00:00:00Z,60,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-07-09T00:00:00Z,38,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-07-16T00:00:00Z,36,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-07-23T00:00:00Z,32,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-07-30T00:00:00Z,33,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-08-06T00:00:00Z,32,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-08-13T00:00:00Z,31,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-08-20T00:00:00Z,28,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-08-27T00:00:00Z,28,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-09-03T00:00:00Z,27,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-09-10T00:00:00Z,28,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-09-17T00:00:00Z,28,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
2023-09-24T00:00:00Z,29,pornhub,US-VA,2023-01-01 2023-10-01,web,0,pornhub,VA,2023-01-01 2023-10-01
