date,hits,keyword,geo,time,gprop,category,term,state,time_span
2023-01-01T00:00:00Z,89,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-01-08T00:00:00Z,84,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-01-15T00:00:00Z,74,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-01-22T00:00:00Z,82,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-01-29T00:00:00Z,79,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-02-05T00:00:00Z,79,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-02-12T00:00:00Z,79,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-02-19T00:00:00Z,79,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-02-26T00:00:00Z,83,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-03-05T00:00:00Z,86,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-03-12T00:00:00Z,84,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-03-19T00:00:00Z,85,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-03-26T00:00:00Z,85,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-04-02T00:00:00Z,84,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-04-09T00:00:00Z,88,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-04-16T00:00:00Z,82,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-04-23T00:00:00Z,81,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-04-30T00:00:00Z,84,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-05-07T00:00:00Z,84,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-05-14T00:00:00Z,90,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-05-21T00:00:00Z,92,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-05-28T00:00:00Z,93,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-06-04T00:00:00Z,88,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-06-11T00:00:00Z,95,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-06-18T00:00:00Z,95,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-06-25T00:00:00Z,94,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-07-02T00:00:00Z,100,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-07-09T00:00:00Z,93,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-07-16T00:00:00Z,91,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-07-23T00:00:00Z,94,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-07-30T00:00:00Z,90,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-08-06T00:00:00Z,98,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-08-13T00:00:00Z,96,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-08-20T00:00:00Z,90,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-08-27T00:00:00Z,86,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-09-03T00:00:00Z,88,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-09-10T00:00:00Z,85,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-09-17T00:00:00Z,89,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
2023-09-24T00:00:00Z,92,porn,US-WV,2023-01-01 2023-10-01,web,0,porn,WV,2023-01-01 2023-10-01
